time,PV Meter,Temperature,Cloud Cover Total,Wind Speed
2022-07-06 04:00:00,251223.96,17.09137,0.0,5.8048253
2022-07-06 05:00:00,251229.04,16.78137,0.0,5.991594
2022-07-06 06:00:00,251250.56,16.411371,0.0,6.1305785
2022-07-06 07:00:00,251287.6,17.50137,0.0,8.435069
2022-07-06 08:00:00,251335.8,20.19137,0.0,13.324863
2022-07-06 09:00:00,251393.48,22.64137,0.0,15.778518
2022-07-06 10:00:00,251456.48,24.26137,0.0,20.037485
2022-07-06 11:00:00,251517.96,25.11137,0.0,19.011953
2022-07-06 12:00:00,251576.72,25.81137,0.0,18.25026
2022-07-06 13:00:00,251635.12,26.21137,10.0,19.008547
2022-07-06 14:00:00,251671.24,26.85137,10.0,17.072504
2022-07-06 15:00:00,251716.6,26.991371,10.0,17.58481
2022-07-06 16:00:00,251741.96,26.73137,10.0,18.919704
2022-07-06 17:00:00,251756.12,26.31137,10.0,18.25026
2022-07-06 18:00:00,251759.24,25.86137,0.0,17.193533
2022-07-06 19:00:00,251759.68,25.12137,0.0,14.494192
2022-07-06 20:00:00,251759.68,23.76137,0.0,12.849528
2022-07-06 21:00:00,251759.68,22.00137,0.0,11.901798
2022-07-06 22:00:00,251759.68,20.73137,0.0,10.495713
2022-07-06 23:00:00,251759.68,19.831371,0.0,9.178235
2022-07-07 00:00:00,251759.68,19.06137,0.0,8.766573
2022-07-07 01:00:00,251759.68,18.46137,100.0,7.24486
2022-07-07 02:00:00,251759.68,18.02137,100.0,5.495161
2022-07-07 03:00:00,251759.68,17.46137,100.0,4.3349743
2022-07-07 04:00:00,251760.12,16.89137,38.0,3.563818
2022-07-07 05:00:00,251763.44,16.73137,100.0,2.5455842
2022-07-07 06:00:00,251772.4,16.831371,100.0,1.609969
2022-07-07 07:00:00,251802.36,17.43137,100.0,1.2979984
2022-07-07 08:00:00,251849.48,18.741371,100.0,4.6102495
2022-07-07 09:00:00,251904.72,19.71137,100.0,6.3690495
2022-07-07 10:00:00,251952.44,21.45137,4.0,7.2
2022-07-07 11:00:00,251984.72,22.741371,7.0,9.931042
2022-07-07 12:00:00,251994.68,23.30137,10.0,9.178235
2022-07-07 13:00:00,251996.84,22.76137,100.0,7.2
2022-07-07 14:00:00,252006.04,21.401371,100.0,2.8799999
2022-07-07 15:00:00,252019.76,21.39137,100.0,5.904439
2022-07-07 16:00:00,252027.0,20.61137,100.0,6.6087217
2022-07-07 17:00:00,252032.2,20.071371,100.0,10.691453
2022-07-07 18:00:00,252035.36,18.67137,100.0,19.272614
2022-07-07 19:00:00,252036.52,16.901371,100.0,17.533146
2022-07-07 20:00:00,252036.52,17.04137,100.0,10.144082
2022-07-07 21:00:00,252036.52,16.581371,100.0,8.435069
2022-07-07 22:00:00,252036.52,16.03137,70.0,8.089993
2022-07-07 23:00:00,252036.52,15.501369,21.300001,6.12
2022-07-08 00:00:00,252036.52,15.13137,41.0,5.315336
2022-07-08 01:00:00,252036.52,15.071369,100.0,6.5693827
2022-07-08 02:00:00,252036.52,15.93137,100.0,8.4963045
2022-07-08 03:00:00,252036.52,16.18137,100.0,8.427383
2022-07-08 04:00:00,252036.56,15.941369,100.0,5.0142193
2022-07-08 05:00:00,252038.16,15.611369,100.0,3.5455887
2022-07-08 06:00:00,252042.4,15.43137,100.0,4.39436
2022-07-08 07:00:00,252055.0,16.831371,100.0,15.328561
2022-07-08 08:00:00,252080.8,18.52137,100.0,22.45315
